Id	HitRatio	MissRatio	Reference	InvalidCases	HitTeams	MissTeams
В 70-летний юбилей товарища Сталина	0.21052631578947367	0.7894736842105263	1949-12-21	1941-12-21, 1943, 1970-11-27, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, 70-11-27, None, None - None, [Date(year=1943, month=None, day=None)], i dont know how to parse this sorry	-REFERENCE-temporal-corpora-rev3, MyParser, handcrafted_solution, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
на 70-летие Верховного Главнокомандующего СССР	0.21052631578947367	0.7894736842105263	1949-12-21	1941-12-21, 1943, 1970-11-27, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, 70-11-27, None, None - None, [Date(year=1943, month=None, day=None)], i dont know how to parse this sorry	-REFERENCE-temporal-corpora-rev3, MyParser, handcrafted_solution, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
в 49-м, на день рождения Сталина	0.21052631578947367	0.7894736842105263	1949-12-21	1927-12-18, 1943, 1949-11-27, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, 2020-12-20, 2020-12-20T, 2020-12-20T00:00, 49-11-27, None - 2020-11-02, [Date(year=1943, month=None, day=None)], null	-REFERENCE-temporal-corpora-rev3, MyParser, handcrafted_solution, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
на семидесятую годовщину И. В. Сталина	0.21052631578947367	0.7894736842105263	1949-12-21	1941-12-21, 1943, 2020, 2020--, 2020-11-07, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-11-7, 2020-12-01, None, [Date(year=1943, month=None, day=None)], i dont know how to parse this sorry	-REFERENCE-temporal-corpora-rev3, MyParser, handcrafted_solution, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
11:30-1:30	0.21052631578947367	0.7894736842105263	2020-11-27T11:30 - 2020-11-27T13:30	2020, 2020--, 2020-04-20, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 01:30:00, 2020-11-27 02:30:00, 2020-11-27T01:30, 2020-11-27T01:30:00, 2020-11-27T02:30, 2020-11-27T11:30, 2020-11-27T11:30 – 2020-11-27T13:30, 2020-11-27T1:30, 2020-11-27T2:30, 2020-11-28T11:302020-11-28T13:30, 2020-11-29T11:30 - 2020-11-29T01:30, 2020-12-01, 2020-4-20	-REFERENCE-temporal-corpora-rev3, MyParser, handcrafted_solution, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
11.30-1.30	0.21052631578947367	0.7894736842105263	2020-11-27T11:30 - 2020-11-27T13:30	2020, 2020--, 2020-01-30, 2020-01-30T11 : 30, 2020-01-30T11:30, 2020-04-20, 2020-1-29T02:30, 2020-1-30, 2020-1-30T00:00, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-11-27T11:30 – 2020-11-27T13:30, 2020-11-27T2:30, 2020-11-28T11:302020-11-28T13:30, 2020-12-01, 2020-4-20, 2030-01-11, 2030-11-1, 2030-11-1T11:30, 301-11-11, None, None - None, i dont know how to parse this sorry	-REFERENCE-temporal-corpora-rev3, MyParser, handcrafted_solution, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
11:30-13:30	0.21052631578947367	0.7894736842105263	2020-11-27T11:30 - 2020-11-27T13:30	2020, 2020--, 2020-04-20, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27 13:30:00, 2020-11-27T01:30, 2020-11-27T02:30, 2020-11-27T11:30, 2020-11-27T11:30 – 2020-11-27T13:30, 2020-11-27T13:30, 2020-11-27T13:30:00, 2020-11-27T1:30, 2020-11-27T2:30, 2020-11-28T23:302020-11-28T13:30, 2020-11-29T11:30 - 2020-11-29T13:30, 2020-12-01, 2020-4-20	-REFERENCE-temporal-corpora-rev3, MyParser, handcrafted_solution, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
с 11:30 до 13:30	0.21052631578947367	0.7894736842105263	2020-11-27T11:30 - 2020-11-27T13:30	1130-11-27, 2020, 2020--, 2020-04-20, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27 13:30:00, 2020-11-27T01:30, 2020-11-27T02:30, 2020-11-27T11:30 – 2020-11-27T13:30, 2020-11-27T13:30, 2020-11-27T13:30:00, 2020-11-27T1:30, 2020-11-27T2:30, 2020-11-28T11:30 -, 2020-11-29T11:30 - 2020-11-29T13:30, 2020-12-01, 2020-4-20	-REFERENCE-temporal-corpora-rev3, MyParser, handcrafted_solution, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
с одиннадцати тридцати утра до часу тридцати дня	0.21052631578947367	0.7894736842105263	2020-11-27T11:30 - 2020-11-27T13:30	2020, 2020--, 2020-04-20, 2020-11-02, 2020-11-02T, 2020-11-02T00:00, 2020-11-11, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T11:30 – 2020-11-27T15:30, 2020-11-27T2:30, 2020-11-28T11:00 -, 2020-12-01, 2020-4-20, None - 2020-11-02	-REFERENCE-temporal-corpora-rev3, MyParser, handcrafted_solution, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
в дневное время, с одиннадцати тридцати до часа тридцати	0.21052631578947367	0.7894736842105263	2020-11-27T11:30 - 2020-11-27T13:30	2020, 2020--, 2020-04-20, 2020-11-11, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 01:00:00, 2020-11-27 02:30:00, 2020-11-27T01:00, 2020-11-27T01:00:00, 2020-11-27T02:30, 2020-11-27T11:30 – 2020-11-27T13:30, 2020-11-27T2:30, 2020-12-01, 2020-4-20, None - 2020-11-29T01:00, [], null	-REFERENCE-temporal-corpora-rev3, MyParser, handcrafted_solution, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
с 10 мая 1943 по 16 февраля 1944 года	0.21052631578947367	0.7894736842105263	1943-05-10 - 1944-02-16	1943-05-10, 1943-05-10 -, 1943-05-10 - 1944-02-17, 1943-05-10 – 1944-02-16, 1943-2-10, 1943-5-10, 1943-5-10 - 1944-2-16, 2020, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, 2021-02-16, 2021-02-16T, 2021-02-16T09:00, 2021-05-10 - None	Dmitry Mikhaylenko, MyParser, handcrafted_solution, Нубы	-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
с 10 мая 1943 года по 16 февраля 1944 года	0.21052631578947367	0.7894736842105263	1943-05-10 - 1944-02-16	1943-05-10, 1943-05-10 -, 1943-05-10 - 1944-02-17, 1943-05-10 – 1944-02-16, 1943-2-10, 1943-5-10, 1943-5-10 - 1944-2-16, 2020, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, 2021-02-16, 2021-02-16T, 2021-02-16T09:00, None - None	Dmitry Mikhaylenko, MyParser, handcrafted_solution, Нубы	-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
10 мая 1943 — 16 февраля 1944	0.21052631578947367	0.7894736842105263	1943-05-10 - 1944-02-16	1943-05-10, 1943-05-10 - 1944-02-17, 1943-05-10 – 1944-02-16, 1943-05-101944-02-16, 1943-2-10, 1943-5-10, 1943-5-10 - 1944-2-16, 2020, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T10:00, 2020-11-27T2:30, 2020-12-01, 2021-02-16, 2021-02-16T, 2021-02-16T09:00	Dmitry Mikhaylenko, MyParser, handcrafted_solution, Нубы	-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
10 мая 1943 г. — 16 февраля 1944 г.	0.21052631578947367	0.7894736842105263	1943-05-10 - 1944-02-16	1943-05-10, 1943-05-10 - 1944-02-17, 1943-05-10 – 1944-02-16, 1943-05-101944-02-16, 1943-2-10, 1943-5-10, 1943-5-10 - 1944-2-16, 2020, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, 2021-02-16, 2021-02-16T, 2021-02-16T09:00, None	Dmitry Mikhaylenko, MyParser, handcrafted_solution, Нубы	-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra
ровно через неделю после завершения Битвы на Курской дуге	0.21052631578947367	0.7894736842105263	1943-08-30	1943-05 - 1944-02-16, 1943-05-10 - 1944-02-16, 1943-5 - 1944-2-16, 1944-02-16, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, 2020-12-04 02:30:00, 2020-12-04T02:30, 2020-12-04T02:30:00, 2020-12-05, 2020-12-06T11:17, []	-REFERENCE-temporal-corpora-rev3, Microvolnovka, MyParser, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
третьего дня	0.2631578947368421	0.736842105263158	2020-11-25	2020, 2020--, 2020-11-02, 2020-11-02T, 2020-11-02T00:00, 2020-11-03, 2020-11-24, 2020-11-24T02:30, 2020-11-24T2:30, 2020-11-25T02:30, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T11:17, 2020-11-27T2:30, 2020-11-28, 2020-11-28T15:00, 2020-11-29, 2020-11-3, 2020-12-01	-REFERENCE-temporal-corpora-rev3, MyParser, handcrafted_solution, hrambton, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, monuwio, schips_21, sisidra
два дня тому назад	0.2631578947368421	0.736842105263158	2020-11-25	2020, 2020--, 2020-11-02, 2020-11-2, 2020-11-24, 2020-11-24T2:30, 2020-11-25 02:30:00, 2020-11-25T02:30, 2020-11-25T02:30:00, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T11:17, 2020-11-27T2:30, 2020-11-28, 2020-11-28T14:00, 2020-11-29, 2020-12-01	-REFERENCE-temporal-corpora-rev3, Cheliki, MyParser, handcrafted_solution, hrambton	21-coders, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, monuwio, schips_21, sisidra, Нубы
двумя днями раньше	0.2631578947368421	0.736842105263158	2020-11-25	2020, 2020--, 2020-11-24, 2020-11-24T2:30, 2020-11-25 02:30:00, 2020-11-25T02:30, 2020-11-25T02:30:00, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T11:17, 2020-11-27T2:30, 2020-11-28, 2020-11-28T14:00, 2020-11-29, 2020-12-01, []	-REFERENCE-temporal-corpora-rev3, Cheliki, MyParser, handcrafted_solution, hrambton	21-coders, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, monuwio, schips_21, sisidra, Нубы
в следующие сутки	0.2631578947368421	0.736842105263158	2020-11-28	2020, 2020--, 2020-11-02, 2020-11-02T, 2020-11-02T00:00, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-11-28T02:30, 2020-11-28T0:00 - 2020-11-28T23:59, 2020-11-28T2:30, 2020-11-29, 2020-12-01, [], null	-REFERENCE-temporal-corpora-rev3, Dmitry Mikhaylenko, Inception, MyParser, handcrafted_solution	21-coders, Cheliki, ElenaKiseleva, Evgenii Chernov, Le-Coqs, MLaureen, Microvolnovka, Red-alert, Shrugged, hrambton, monuwio, schips_21, sisidra, Нубы
через два дня	0.2631578947368421	0.736842105263158	2020-11-30	2020, 2020--, 2020-11-02, 2020-11-2, 2020-11-27, 2020-11-27T02:30, 2020-11-28, 2020-11-29, 2020-11-29 02:30:00, 2020-11-29T02 : 30, 2020-11-29T02:30, 2020-11-29T02:30:00, 2020-11-29T2:30, 2020-12-01, 2020-12-01T11:17, 2020-12-1T02:30	-REFERENCE-temporal-corpora-rev3, Inception, Red-alert, handcrafted_solution, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Le-Coqs, MLaureen, Microvolnovka, MyParser, Shrugged, hrambton, monuwio, schips_21, sisidra
в минувшую пятницу	0.2631578947368421	0.736842105263158	2020-11-20	2020, 2020--, 2020-04-27, 2020-08-16, 2020-11-05, 2020-11-22, 2020-11-25, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T, 2020-11-27T02:30, 2020-11-27T09:00, 2020-11-27T2:30, 2020-11-5, 2020-12-01, 2020-16-08, [], null	-REFERENCE-temporal-corpora-rev3, Inception, MyParser, Red-alert, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Le-Coqs, MLaureen, Microvolnovka, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
в прошлую пятницу	0.2631578947368421	0.736842105263158	2020-11-20	2020, 2020--, 2020-04-27, 2020-08-16, 2020-11-05, 2020-11-22, 2020-11-25, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T, 2020-11-27T02:30, 2020-11-27T09:00, 2020-11-27T2:30, 2020-11-5, 2020-12-01, 2020-16-08, [], null	-REFERENCE-temporal-corpora-rev3, Inception, MyParser, Red-alert, Нубы	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Le-Coqs, MLaureen, Microvolnovka, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
ровно неделю назад	0.2631578947368421	0.736842105263158	2020-11-20	2020, 2020--, 2020-08-16, 2020-11-20 02:30:00, 2020-11-20T02:30, 2020-11-20T02:30:00, 2020-11-21, 2020-11-22T11:17, 2020-11-25, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-12-01, 2020-16-08, []	-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Inception, Нубы	Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
семь дней назад	0.2631578947368421	0.736842105263158	2020-11-20	2020, 2020--, 2020-08-16, 2020-11-07, 2020-11-20 02:30:00, 2020-11-20T02 : 30, 2020-11-20T02:30, 2020-11-20T02:30:00, 2020-11-21, 2020-11-25, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-11-7, 2020-12-01, 2020-16-08, None	-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Inception, Нубы	Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
в субботу	0.2631578947368421	0.736842105263158	2020-11-28	2020, 2020--, 2020-05-27, 2020-08-16, 2020-11-21, 2020-11-21T00:00, 2020-11-21T02:30, 2020-11-24, 2020-11-25, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-11-28T, 2020-11-28T09:00, 2020-12-01, 2020-12-05, 2020-16-08, null	-REFERENCE-temporal-corpora-rev3, Inception, MyParser, Shrugged, handcrafted_solution	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Le-Coqs, MLaureen, Microvolnovka, Red-alert, hrambton, monuwio, schips_21, sisidra, Нубы
на субботу	0.2631578947368421	0.736842105263158	2020-11-28	2020, 2020--, 2020-05-27, 2020-08-16, 2020-11-21, 2020-11-21T00:00, 2020-11-21T02:30, 2020-11-24, 2020-11-25, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-11-28T, 2020-11-28T09:00, 2020-12-01, 2020-12-05, 2020-16-08, []	-REFERENCE-temporal-corpora-rev3, Inception, MyParser, Shrugged, handcrafted_solution	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Le-Coqs, MLaureen, Microvolnovka, Red-alert, hrambton, monuwio, schips_21, sisidra, Нубы
июль 2011 года	0.2631578947368421	0.736842105263158	2011-07	2011-06-27, 2011-07-01 -, 2011-07-01 - 2011-07-31, 2011-07-27, 2011-07-27T00:00, 2011-7, 2011-7-27, 2011-7-27T02:30, 2011-7-28, 2011-7-28T00:0, 2011-7-28T00:00, 2011-7-29, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-12-01, 2021-07-01, 2021-07-01T, 2021-07-01T09:00, None, [Date(year=2011, month=7, day=None)]	-REFERENCE-temporal-corpora-rev3, Dmitry Mikhaylenko, Evgenii Chernov, Inception, Нубы	21-coders, Cheliki, ElenaKiseleva, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
июль 2011 г.	0.2631578947368421	0.736842105263158	2011-07	2011-06-27, 2011-07-01 -, 2011-07-01 - 2011-07-31, 2011-07-27, 2011-07-27T00:00, 2011-7, 2011-7-27, 2011-7-27T02:30, 2011-7-28, 2011-7-28T00:0, 2011-7-28T00:00, 2011-7-29, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-12-01, 2021-07-01, 2021-07-01T, 2021-07-01T09:00, None, [Date(year=2011, month=7, day=None)]	-REFERENCE-temporal-corpora-rev3, Dmitry Mikhaylenko, Evgenii Chernov, Inception, Нубы	21-coders, Cheliki, ElenaKiseleva, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
июль 2011-го	0.2631578947368421	0.736842105263158	2011-07	2011-06-27, 2011-07-01 - 2011-07-31, 2011-07-27, 2011-7, 2011-7-1T00:00, 2011-7-27, 2011-7-27T02:30, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, 2021-07-01, 2021-07-01 -, 2021-07-01T, 2021-07-01T09:00, [Date(year=2011, month=7, day=None)]	-REFERENCE-temporal-corpora-rev3, Dmitry Mikhaylenko, Evgenii Chernov, Inception, Нубы	21-coders, Cheliki, ElenaKiseleva, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
в июле 2011 года	0.2631578947368421	0.736842105263158	2011-07	2011-06-27, 2011-07-01 -, 2011-07-01 - 2011-07-31, 2011-07-27, 2011-07-27T00:00, 2011-7, 2011-7-27, 2011-7-27T02:30, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, 2021-07-01, 2021-07-01T, 2021-07-01T09:00, None, [Date(year=2011, month=7, day=None)], null	-REFERENCE-temporal-corpora-rev3, Dmitry Mikhaylenko, Evgenii Chernov, Inception, Нубы	21-coders, Cheliki, ElenaKiseleva, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
июль 2011го	0.2631578947368421	0.736842105263158	2011-07	2011-06-27, 2011-07-01 -, 2011-07-01 - 2011-07-31, 2011-07-27, 2011-7, 2011-7-1T00:00, 2011-7-27, 2011-7-27T02:30, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, 2021-07-01, 2021-07-01T, 2021-07-01T09:00, [Date(year=2011, month=7, day=None)]	-REFERENCE-temporal-corpora-rev3, Dmitry Mikhaylenko, Evgenii Chernov, Inception, Нубы	21-coders, Cheliki, ElenaKiseleva, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
за июль 2011 г.	0.2631578947368421	0.736842105263158	2011-07	2011-06-27, 2011-07-01 -, 2011-07-01 - 2011-07-31, 2011-07-27, 2011-7, 2011-7-27, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, 2021-07-01, 2021-07-01T, 2021-07-01T09:00, None, [Date(year=2011, month=7, day=None)], null	-REFERENCE-temporal-corpora-rev3, Dmitry Mikhaylenko, Evgenii Chernov, Inception, Нубы	21-coders, Cheliki, ElenaKiseleva, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
июль-2011	0.2631578947368421	0.736842105263158	2011-07	2011-07-01 -, 2011-07-01 - 2011-07-31, 2011-07-27, 2011-07-27T00:00, 2011-11-27, 2011-7, 2011-7-27, 2011-7-27T02:30, 2011-7-28, 2011-7-28T00:0, 2011-7-28T00:00, 2011-7-29, 2020, 2020--, 2020-07-27, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-12-01, 2020-7-27, 2021-07-01, 2021-07-01 - None, 2021-07-01T, 2021-07-01T09:00, [Date(year=2011, month=7, day=None)]	-REFERENCE-temporal-corpora-rev3, Dmitry Mikhaylenko, Evgenii Chernov, Inception, Нубы	21-coders, Cheliki, ElenaKiseleva, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
июль '11	0.2631578947368421	0.736842105263158	2011-07	2011-07-01 - 2011-07-31, 2011-07-27, 2011-7, 2020, 2020--, 2020-06-11, 2020-07-11, 2020-07-11T00:00, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-12-01, 2020-7-10T02:30, 2020-7-11, 2020-7-11T00:00, 2020-7-11T02:30, 2021-07-01, 2021-07-01T, 2021-07-01T09:00, 2021-07-01T11:00, [Date(year=2011, month=7, day=None)]	-REFERENCE-temporal-corpora-rev3, Dmitry Mikhaylenko, Evgenii Chernov, Inception, Нубы	21-coders, Cheliki, ElenaKiseleva, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
до августа 1944 года	0.2631578947368421	0.736842105263158	1944-08	1944-08-01, 1944-08-01 -, 1944-08-01 - 1944-08-31, 1944-08-27, 1944-08-27T00:00, 1944-8, 1944-8-27, 2020, 2020--, 2020-04-06, 2020-08-16, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-11-28 - 1944-07-31, 2020-12-01, 2021-08-01, 2021-08-01T, 2021-08-01T09:00, None - None, [Date(year=1944, month=8, day=None)]	-REFERENCE-temporal-corpora-rev3, Dmitry Mikhaylenko, Evgenii Chernov, Inception, Нубы	21-coders, Cheliki, ElenaKiseleva, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
пока не наступил август 1944-го	0.2631578947368421	0.736842105263158	1944-08	1944-08-01, 1944-08-01 - 1944-08-31, 1944-08-27, 1944-8, 1944-8-1T00:00, 1944-8-27, 2020, 2020--, 2020-04-06, 2020-08-16, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-11-28 - 1944-07-31, 2020-12-01, 2021-08-01, 2021-08-01 -, 2021-08-01T, 2021-08-01T09:00, None - 2021-08-01, [Date(year=1944, month=8, day=None)]	-REFERENCE-temporal-corpora-rev3, Dmitry Mikhaylenko, Evgenii Chernov, Inception, Нубы	21-coders, Cheliki, ElenaKiseleva, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra
